code_iso;ACodetxt;AName;AREA_HA;X_CNTR;Y_CNTR;E_CNTR;N_CNTR;GMDNR;GMDNAME;ACAT
CH;261;Zürich;477;695200;234400;2695200;1234400;155;Männedorf;3
CH;261;Zürich;1194;691300;236100;2691300;1236100;156;Meilen;3
CH;261;Zürich;611;697000;236300;2697000;1236300;157;Oetwil am See;4
CH;261;Zürich;859;697000;233000;2697000;1233000;158;Stäfa;3
CH;261;Zürich;346;693800;235400;2693800;1235400;159;Uetikon am See;3
CH;261;Zürich;548;689700;242900;2689700;1242900;160;Zumikon;2
CH;261;Zürich;785;685800;243800;2685800;1243800;161;Zollikon;2
CH;1630;Glarus;14700;723200;217800;2723200;1217800;1630;Glarus Nord;1
CH;1630;Glarus;10367;723700;211300;2723700;1211300;1632;Glarus;1
CH;1711;Zug;2485;682600;227800;2682600;1227800;1701;Baar;2
CH;1711;Zug;1773;677400;226100;2677400;1226100;1702;Cham;2
CH;1711;Zug;1841;674900;225200;2674900;1225200;1703;Hünenberg;2
CH;1711;Zug;2751;687300;226000;2687300;1226000;1704;Menzingen;4
CH;1711;Zug;793;686100;228900;2686100;1228900;1705;Neuheim;4
CH;1711;Zug;3004;689200;221100;2689200;1221100;1706;Oberägeri;3
CH;1711;Zug;1486;675100;221600;2675100;1221600;1707;Risch;3
CH;1711;Zug;504;679300;227900;2679300;1227900;1708;Steinhausen;2
CH;1711;Zug;2561;686900;221300;2686900;1221300;1709;Unterägeri;3
CH;1711;Zug;1355;681700;217200;2681700;1217200;1710;Walchwil;4
CH;1711;Zug;2162;681800;224700;2681800;1224700;1711;Zug;1
CH;261;Zürich;947;699200;249400;2699200;1249400;172;Fehraltorf;4
CH;261;Zürich;1295;704800;246900;2704800;1246900;173;Hittnau;4
CH;261;Zürich;1199;693000;255300;2693000;1255300;176;Lindau;4
CH;261;Zürich;1952;701700;246900;2701700;1246900;177;Pfäffikon;4
CH;261;Zürich;1421;701000;250200;2701000;1250200;178;Russikon;4
CH;261;Zürich;1281;700000;254300;2700000;1254300;180;Weisslingen;4
CH;261;Zürich;1057;704000;253800;2704000;1253800;182;Wildberg;4
CH;261;Zürich;1362;689300;250400;2689300;1250400;191;Dübendorf;2
CH;261;Zürich;1453;694700;239600;2694700;1239600;192;Egg;4
CH;261;Zürich;638;690700;247300;2690700;1247300;193;Fällanden;4
CH;261;Zürich;227;693600;246800;2693600;1246800;194;Greifensee;2
CH;261;Zürich;1477;693000;244000;2693000;1244000;195;Maur;4
CH;261;Zürich;759;697000;240700;2697000;1240700;196;Mönchaltorf;4
CH;261;Zürich;262;692200;248800;2692200;1248800;197;Schwerzenbach;2
CH;261;Zürich;2849;696700;245000;2696700;1245000;198;Uster;3
CH;261;Zürich;1404;694800;249500;2694800;1249500;199;Volketswil;2
CH;261;Zürich;1059;676800;236800;2676800;1236800;2;Affoltern am Albis;3
CH;261;Zürich;792;691100;251800;2691100;1251800;200;Wangen-Brüttisellen;2
CH;5586;Lausanne;193;551500;159200;2551500;1159200;2061;Auboranges;4
CH;5586;Lausanne;202;553700;159800;2553700;1159800;2066;Chapelle (Glâne);4
CH;5586;Lausanne;488;551800;162200;2551800;1162200;2072;Ecublens (FR);4
CH;5586;Lausanne;220;552200;166100;2552200;1166100;2089;Montet (Glâne);4
CH;2125;Bulle;1003;574000;161400;2574000;1161400;2124;Broc;4
CH;2125;Bulle;2386;570800;162700;2570800;1162700;2125;Bulle;1
CH;261;Zürich;660;693100;258700;2693100;1258700;213;Brütten;4
CH;2125;Bulle;465;572100;166400;2572100;1166400;2131;Echarlens;2
CH;2125;Bulle;264;573000;163900;2573000;1163900;2143;Morlon;2
CH;2125;Bulle;449;570600;160300;2570600;1160300;2145;Le Pâquier (FR);4
CH;2125;Bulle;776;571100;165500;2571100;1165500;2148;Riaz;2
CH;261;Zürich;288;689300;264300;2689300;1264300;215;Dättlikon;4
CH;2125;Bulle;1045;568100;163000;2568100;1163000;2160;Vuadens;2
CH;2196;Fribourg;616;575900;177300;2575900;1177300;2171;Arconciel;4
CH;2196;Fribourg;622;568100;176200;2568100;1176200;2173;Autigny;4
CH;2196;Fribourg;584;571900;182000;2571900;1182000;2174;Avry;4
CH;2196;Fribourg;888;574700;185600;2574700;1185600;2175;Belfaux;2
CH;2196;Fribourg;394;566600;176700;2566600;1176700;2177;Chénens;4
CH;2196;Fribourg;723;574500;184200;2574500;1184200;2183;Corminboeuf;2
CH;2196;Fribourg;497;568900;177900;2568900;1177900;2186;Cottens (FR);4
CH;2196;Fribourg;561;577600;178200;2577600;1178200;2189;Ependes (FR);4
CH;230;Winterthur;807;702700;262500;2702700;1262500;219;Elsau;2
CH;2196;Fribourg;102;579300;177400;2579300;1177400;2194;Ferpicloz;4
CH;2196;Fribourg;929;577900;183600;2577900;1183600;2196;Fribourg;1
CH;2196;Fribourg;346;576500;184800;2576500;1184800;2197;Givisiez;2
CH;2196;Fribourg;399;577400;186000;2577400;1186000;2198;Granges-Paccot;2
CH;2196;Fribourg;534;571900;187000;2571900;1187000;2200;Grolley;4
CH;2196;Fribourg;772;578800;180600;2578800;1180600;2206;Marly;4
CH;2196;Fribourg;291;573900;181500;2573900;1181500;2208;Matran;4
CH;2196;Fribourg;553;571500;179700;2571500;1179700;2211;Neyruz (FR);4
CH;2196;Fribourg;691;568700;183600;2568700;1183600;2213;Noréaz;4
CH;2196;Fribourg;506;580700;181800;2580700;1181800;2216;Pierrafortscha;4
CH;2196;Fribourg;591;569600;185000;2569600;1185000;2217;Ponthaux;4
CH;2196;Fribourg;1856;580100;177800;2580100;1177800;2220;Le Mouret;4
CH;2196;Fribourg;570;567700;181700;2567700;1181700;2221;Prez-vers-Noréaz;4
CH;2196;Fribourg;51;577400;176800;2577400;1176800;2225;Senèdes;4
CH;2196;Fribourg;1140;577000;175100;2577000;1175100;2226;Treyvaux;4
CH;2196;Fribourg;548;577000;182200;2577000;1182200;2228;Villars-sur-Glâne;2
CH;230;Winterthur;1507;692500;264900;2692500;1264900;223;Neftenbach;2
CH;2196;Fribourg;139;579800;178900;2579800;1178900;2230;Villarsel-sur-Marly;4
CH;2196;Fribourg;1197;573800;178900;2573800;1178900;2233;Hauterive (FR);4
CH;2196;Fribourg;1030;566800;178700;2566800;1178700;2234;La Brillaz;4
CH;2196;Fribourg;696;576800;187000;2576800;1187000;2235;La Sonnaz;4
CH;2196;Fribourg;3606;571500;174500;2571500;1174500;2236;Gibloux;4
CH;261;Zürich;499;690500;263400;2690500;1263400;224;Pfungen;4
CH;230;Winterthur;602;702200;267700;2702200;1267700;225;Rickenbach (ZH);4
CH;92275;Murten;338;575100;195000;2575100;1195000;2250;Courgevaux;6
CH;230;Winterthur;897;704700;258400;2704700;1258400;226;Schlatt (ZH);4
CH;351;Bern;167;581700;198900;2581700;1198900;2260;Gempenach;4
CH;230;Winterthur;756;697400;265800;2697400;1265800;227;Seuzach;4
CH;92275;Murten;34;574800;197000;2574800;1197000;2271;Meyriez;6
CH;2196;Fribourg;1138;571600;189100;2571600;1189100;2272;Misery-Courtion;4
CH;92275;Murten;110;576000;198300;2576000;1198300;2274;Muntelier;6
CH;92275;Murten;2470;575600;197400;2575600;1197400;2275;Murten;6
CH;351;Bern;284;581900;197900;2581900;1197900;2278;Ulmiz;4
CH;351;Bern;1432;584000;193500;2584000;1193500;2295;Bösingen;4
CH;261;Zürich;701;687200;269400;2687200;1269400;23;Berg am Irchel;4
CH;230;Winterthur;6807;697200;261700;2697200;1261700;230;Winterthur;1
CH;2196;Fribourg;361;581600;180000;2581600;1180000;2307;Tentlingen;4
CH;351;Bern;1611;590300;190400;2590300;1190400;2308;Ueberstorf;4
CH;351;Bern;1327;587700;191500;2587700;1191500;2309;Wünnewil-Flamatt;4
CH;92407;Oensingen;1210;621100;237800;2621100;1237800;2407;Oensingen;6
CH;261;Zürich;524;675500;243300;2675500;1243300;241;Aesch (ZH);4
CH;261;Zürich;1142;675500;245400;2675500;1245400;242;Birmensdorf (ZH);4
CH;261;Zürich;934;672500;251000;2672500;1251000;243;Dietikon;2
CH;261;Zürich;193;673400;252600;2673400;1252600;244;Geroldswil;2
CH;261;Zürich;215;677300;251400;2677300;1251400;245;Oberengstringen;2
CH;261;Zürich;277;672200;253500;2672200;1253500;246;Oetwil an der Limmat;2
CH;261;Zürich;659;676200;250000;2676200;1250000;247;Schlieren;2
CH;T_2701;Basel (CH);167;605400;259900;2605400;1259900;2471;Bättwil;4
CH;T_2701;Basel (CH);623;617500;255400;2617500;1255400;2472;Büren (SO);4
CH;T_2701;Basel (CH);579;613300;258800;2613300;1258800;2473;Dornach;2
CH;T_2701;Basel (CH);599;616600;258300;2616600;1258300;2474;Gempen;4
CH;T_2701;Basel (CH);835;615200;256200;2615200;1256200;2475;Hochwald;4
CH;T_2701;Basel (CH);752;605800;258300;2605800;1258300;2476;Hofstetten-Flüh;4
CH;T_2701;Basel (CH);848;602000;257300;2602000;1257300;2477;Metzerlen-Mariastein;4
CH;T_2701;Basel (CH);634;619200;257900;2619200;1257900;2478;Nuglar-St. Pantaleon;4
CH;T_2701;Basel (CH);535;601400;258900;2601400;1258900;2479;Rodersdorf;4
CH;261;Zürich;438;676600;247200;2676600;1247200;248;Uitikon;4
CH;T_2701;Basel (CH);1631;616600;253700;2616600;1253700;2480;Seewen;4
CH;T_2701;Basel (CH);267;606300;259400;2606300;1259400;2481;Witterswil;4
CH;261;Zürich;334;676300;251600;2676300;1251600;249;Unterengstringen;2
CH;2581;Olten – Zofingen;535;631500;247100;2631500;1247100;2491;Hauenstein-Ifenthal;4
CH;2581;Olten – Zofingen;1325;638400;248200;2638400;1248200;2493;Lostorf;4
CH;92583;Schönenwerd;432;641700;247000;2641700;1247000;2495;Niedergösgen;6
CH;2581;Olten – Zofingen;363;638800;246100;2638800;1246100;2497;Obergösgen;2
CH;261;Zürich;758;674400;248400;2674400;1248400;250;Urdorf;2
CH;2581;Olten – Zofingen;760;635000;245900;2635000;1245900;2500;Trimbach;2
CH;2581;Olten – Zofingen;394;637400;246100;2637400;1246100;2501;Winznau;2
CH;2581;Olten – Zofingen;479;633800;249200;2633800;1249200;2502;Wisen (SO);4
CH;4001;Aarau;887;642900;249700;2642900;1249700;2503;Erlinsbach (SO);2
CH;261;Zürich;537;675200;252600;2675200;1252600;251;Weiningen (ZH);2
CH;2601;Solothurn;1225;609100;225700;2609100;1225700;2513;Biberist;3
CH;2601;Solothurn;760;613800;229300;2613800;1229300;2516;Deitingen;4
CH;2601;Solothurn;562;611200;227200;2611200;1227200;2517;Derendingen;2
CH;2601;Solothurn;185;610100;224400;2610100;1224400;2519;Gerlafingen;3
CH;2601;Solothurn;185;612500;224300;2612500;1224300;2520;Halten;4
CH;2601;Solothurn;102;614900;226000;2614900;1226000;2524;Hüniken;4
CH;2601;Solothurn;448;606500;224300;2606500;1224300;2526;Lohn-Ammannsegg;4
CH;2601;Solothurn;452;611200;229400;2611200;1229400;2527;Luterbach;4
CH;2601;Solothurn;151;611100;223500;2611100;1223500;2528;Obergerlafingen;4
CH;2601;Solothurn;239;612600;225400;2612600;1225400;2529;Oekingen;4
CH;2601;Solothurn;627;613500;227300;2613500;1227300;2532;Subingen;2
CH;2601;Solothurn;463;608300;227900;2608300;1227900;2534;Zuchwil;2
CH;2601;Solothurn;529;604000;229000;2604000;1229000;2542;Bellach;2
CH;2546;Grenchen;1219;598900;228000;2598900;1228000;2543;Bettlach;2
CH;2601;Solothurn;251;608900;230000;2608900;1230000;2544;Feldbrunnen-St. Niklaus;2
CH;2546;Grenchen;2603;596700;226900;2596700;1226900;2546;Grenchen;1
CH;2601;Solothurn;526;610500;234100;2610500;1234100;2547;Günsberg;4
CH;2601;Solothurn;135;611400;232900;2611400;1232900;2548;Hubersdorf;4
CH;2601;Solothurn;195;605800;230100;2605800;1230100;2550;Langendorf;2
CH;2601;Solothurn;576;602500;230300;2602500;1230300;2551;Lommiswil;4
CH;2601;Solothurn;1191;604900;231000;2604900;1231000;2553;Oberdorf (SO);2
CH;2601;Solothurn;715;609600;230900;2609600;1230900;2554;Riedholz;4
CH;2601;Solothurn;877;607000;231100;2607000;1231100;2555;Rüttenen;4
CH;2581;Olten – Zofingen;276;631600;239800;2631600;1239800;2571;Boningen;4
CH;92583;Schönenwerd;543;641100;245100;2641100;1245100;2572;Däniken;6
CH;2581;Olten – Zofingen;604;638300;244300;2638300;1244300;2573;Dulliken;2
CH;4001;Aarau;181;644200;247400;2644200;1247400;2574;Eppenberg-Wöschnau;2
CH;92583;Schönenwerd;583;642200;245300;2642200;1245300;2576;Gretzenbach;6
CH;2581;Olten – Zofingen;1394;630500;242800;2630500;1242800;2579;Hägendorf;2
CH;2581;Olten – Zofingen;510;631000;241500;2631000;1241500;2580;Kappel (SO);2
CH;2581;Olten – Zofingen;1149;634700;244700;2634700;1244700;2581;Olten;1
CH;2581;Olten – Zofingen;276;631500;243500;2631500;1243500;2582;Rickenbach (SO);2
CH;92583;Schönenwerd;371;642800;246900;2642800;1246900;2583;Schönenwerd;6
CH;2581;Olten – Zofingen;185;636800;244700;2636800;1244700;2584;Starrkirch-Wil;2
CH;2581;Olten – Zofingen;696;632500;243900;2632500;1243900;2586;Wangen bei Olten;2
CH;2601;Solothurn;628;606900;228800;2606900;1228800;2601;Solothurn;1
CH;261;Zürich;8793;683100;247100;2683100;1247100;261;Zürich;1
CH;T_2701;Basel (CH);1119;602600;247900;2602600;1247900;2611;Bärschwil;4
CH;T_2701;Basel (CH);680;607900;250700;2607900;1250700;2613;Breitenbach;4
CH;T_2701;Basel (CH);755;607600;248900;2607600;1248900;2614;Büsserach;4
CH;T_2701;Basel (CH);148;610600;249500;2610600;1249500;2616;Fehren;4
CH;T_2701;Basel (CH);603;612000;252300;2612000;1252300;2618;Himmelried;4
CH;T_2701;Basel (CH);1632;598400;252800;2598400;1252800;2619;Kleinlützel;4
CH;T_2701;Basel (CH);576;611400;248600;2611400;1248600;2620;Meltingen;4
CH;T_2701;Basel (CH);1031;613600;249200;2613600;1249200;2621;Nunningen;4
CH;T_2701;Basel (CH);366;612200;248900;2612200;1248900;2622;Zullwil;4
CH;T_2939;Schaffhausen (CH);248;690400;283000;2690400;1283000;27;Feuerthalen;2
CH;T_2701;Basel (CH);2385;611300;267600;2611300;1267600;2701;Basel;1
CH;T_2701;Basel (CH);223;617100;268900;2617100;1268900;2702;Bettingen;2
CH;T_2701;Basel (CH);1087;615300;269500;2615300;1269500;2703;Riehen;2
CH;T_2701;Basel (CH);740;611900;257500;2611900;1257500;2761;Aesch (BL);2
CH;T_2701;Basel (CH);889;607300;266700;2607300;1266700;2762;Allschwil;2
CH;T_2701;Basel (CH);693;613700;260400;2613700;1260400;2763;Arlesheim;2
CH;T_2701;Basel (CH);412;606700;261800;2606700;1261800;2764;Biel-Benken;4
CH;T_2701;Basel (CH);446;610000;265200;2610000;1265200;2765;Binningen;2
CH;T_2701;Basel (CH);251;613900;266900;2613900;1266900;2766;Birsfelden;2
CH;T_2701;Basel (CH);299;610100;263600;2610100;1263600;2767;Bottmingen;2
CH;T_2701;Basel (CH);632;608000;258900;2608000;1258900;2768;Ettingen;4
CH;T_2701;Basel (CH);719;613400;262500;2613400;1262500;2769;Münchenstein;2
CH;T_2701;Basel (CH);1665;615100;264300;2615100;1264300;2770;Muttenz;2
CH;T_2701;Basel (CH);789;608900;262600;2608900;1262600;2771;Oberwil (BL);2
CH;T_2701;Basel (CH);489;611300;256500;2611300;1256500;2772;Pfeffingen;2
CH;T_2701;Basel (CH);697;611400;260300;2611400;1260300;2773;Reinach (BL);2
CH;T_2701;Basel (CH);135;604700;265200;2604700;1265200;2774;Schönenbuch;4
CH;T_2701;Basel (CH);766;608700;260900;2608700;1260900;2775;Therwil;2
CH;T_2701;Basel (CH);712;606100;255500;2606100;1255500;2781;Blauen;4
CH;T_2701;Basel (CH);942;607900;251900;2607900;1251900;2782;Brislach;4
CH;T_2701;Basel (CH);284;600200;256300;2600200;1256300;2783;Burg im Leimental;4
CH;T_2701;Basel (CH);675;604500;254400;2604500;1254400;2784;Dittingen;4
CH;T_2701;Basel (CH);586;612500;255800;2612500;1255800;2785;Duggingen;4
CH;T_2701;Basel (CH);329;611300;254600;2611300;1254600;2786;Grellingen;4
CH;T_2701;Basel (CH);1140;604700;252200;2604700;1252200;2787;Laufen;4
CH;T_2701;Basel (CH);366;609300;255300;2609300;1255300;2789;Nenzlingen;4
CH;T_2701;Basel (CH);1007;602800;252600;2602800;1252600;2791;Röschenz;4
CH;T_2701;Basel (CH);541;605800;250000;2605800;1250000;2792;Wahlen;4
CH;T_2701;Basel (CH);461;606900;253900;2606900;1253900;2793;Zwingen;4
CH;T_2701;Basel (CH);1000;624600;262300;2624600;1262300;2821;Arisdorf;4
CH;T_2701;Basel (CH);165;621000;265000;2621000;1265000;2822;Augst;3
CH;T_2701;Basel (CH);1080;622500;255300;2622500;1255300;2823;Bubendorf;4
CH;T_2701;Basel (CH);459;620900;261400;2620900;1261400;2824;Frenkendorf;3
CH;T_2701;Basel (CH);462;621900;261700;2621900;1261700;2825;Füllinsdorf;3
CH;T_2701;Basel (CH);134;623100;263600;2623100;1263600;2826;Giebenach;4
CH;T_2701;Basel (CH);166;626000;260200;2626000;1260200;2827;Hersberg;4
CH;T_2701;Basel (CH);557;624200;258000;2624200;1258000;2828;Lausen;3
CH;T_2701;Basel (CH);1818;622300;259400;2622300;1259400;2829;Liestal;3
CH;T_2701;Basel (CH);311;619300;255100;2619300;1255100;2830;Lupsingen;4
CH;T_2701;Basel (CH);1071;619300;263400;2619300;1263400;2831;Pratteln;3
CH;T_2701;Basel (CH);225;624500;255400;2624500;1255400;2832;Ramlinsburg;4
CH;T_2701;Basel (CH);356;621000;256600;2621000;1256600;2833;Seltisberg;4
CH;T_2701;Basel (CH);782;620300;253400;2620300;1253400;2834;Ziefen;4
CH;T_2701;Basel (CH);228;629900;257000;2629900;1257000;2842;Böckten;4
CH;T_2701;Basel (CH);200;630700;251100;2630700;1251100;2843;Buckten;4
CH;T_2701;Basel (CH);885;632100;261700;2632100;1261700;2844;Buus;4
CH;T_2701;Basel (CH);144;630100;255100;2630100;1255100;2845;Diepflingen;4
CH;T_2701;Basel (CH);978;631400;257100;2631400;1257100;2846;Gelterkinden;4
CH;T_2701;Basel (CH);339;634200;259800;2634200;1259800;2848;Hemmiken;4
CH;T_2701;Basel (CH);313;626100;257400;2626100;1257400;2849;Itingen;3
CH;T_2701;Basel (CH);148;630000;251300;2630000;1251300;2850;Känerkinden;4
CH;T_2701;Basel (CH);508;630700;263800;2630700;1263800;2853;Maisprach;4
CH;T_2701;Basel (CH);172;627600;260100;2627600;1260100;2854;Nusshof;4
CH;T_2701;Basel (CH);693;633000;257700;2633000;1257700;2856;Ormalingen;4
CH;T_2701;Basel (CH);290;631100;259400;2631100;1259400;2857;Rickenbach (BL);4
CH;T_2701;Basel (CH);228;630900;252600;2630900;1252600;2859;Rümlingen;4
CH;T_2701;Basel (CH);497;633600;253600;2633600;1253600;2860;Rünenberg;4
CH;T_2701;Basel (CH);890;628100;256900;2628100;1256900;2861;Sissach;4
CH;T_2701;Basel (CH);234;633500;255600;2633500;1255600;2862;Tecknau;4
CH;T_2701;Basel (CH);467;628200;254000;2628200;1254000;2863;Tenniken;4
CH;T_2701;Basel (CH);226;629500;256100;2629500;1256100;2864;Thürnen;4
CH;T_2701;Basel (CH);592;635600;254400;2635600;1254400;2865;Wenslingen;4
CH;T_2701;Basel (CH);695;629100;260400;2629100;1260400;2866;Wintersingen;4
CH;T_2701;Basel (CH);320;630400;252900;2630400;1252900;2867;Wittinsburg;4
CH;T_2701;Basel (CH);686;627800;255400;2627800;1255400;2869;Zunzgen;4
CH;T_2701;Basel (CH);347;621000;251800;2621000;1251800;2881;Arboldswil;4
CH;T_2701;Basel (CH);653;625800;250300;2625800;1250300;2882;Bennwil;4
CH;T_2701;Basel (CH);733;616100;249700;2616100;1249700;2883;Bretzwil;4
CH;T_2701;Basel (CH);964;628100;251500;2628100;1251500;2884;Diegten;4
CH;T_2701;Basel (CH);603;625000;252700;2625000;1252700;2886;Hölstein;4
CH;T_2701;Basel (CH);401;624200;252800;2624200;1252800;2887;Lampenberg;4
CH;T_2701;Basel (CH);730;617900;248800;2617900;1248800;2889;Lauwil;4
CH;T_2701;Basel (CH);441;623600;250700;2623600;1250700;2891;Niederdorf;4
CH;T_2701;Basel (CH);621;623500;249200;2623500;1249200;2892;Oberdorf (BL);4
CH;T_2701;Basel (CH);925;619100;249600;2619100;1249600;2893;Reigoldswil;4
CH;T_2701;Basel (CH);371;621000;250200;2621000;1250200;2894;Titterten;4
CH;T_2939;Schaffhausen (CH);242;689400;282000;2689400;1282000;29;Flurlingen;2
CH;T_2939;Schaffhausen (CH);683;683700;284000;2683700;1284000;2903;Löhningen;4
CH;T_2939;Schaffhausen (CH);400;691100;290300;2691100;1290300;2914;Büttenhardt;4
CH;T_2939;Schaffhausen (CH);582;696100;284800;2696100;1284800;2915;Dörflingen;4
CH;T_2939;Schaffhausen (CH);487;692400;290200;2692400;1290200;2917;Lohn (SH);4
CH;T_2939;Schaffhausen (CH);472;691800;288400;2691800;1288400;2919;Stetten (SH);4
CH;T_2939;Schaffhausen (CH);1992;695100;289300;2695100;1289300;2920;Thayngen;4
CH;261;Zürich;3564;693400;231600;2693400;1231600;293;Wädenswil;3
